"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYP1B1",1.35789023861827,2.4653755501289,5.0606295915492,2.40307975294739e-05,0.28322697968238,1.87849836134067
"AGBL5-IT1",1.238750803012,0.510186242720289,4.74709898439464,5.64357129864969e-05,0.28716810958765,1.25326394033236
"LA16c-313D11.11.1",2.07743883610319,0.620335243531645,4.65202447882016,7.30955649722509e-05,0.28716810958765,1.06244927060209
"GPR15",1.22413159952444,1.1487993072476,4.4541632458958,0.000125097658108916,0.346377270056899,0.664184128562075
"MPP7",0.90279750303978,1.95942875716368,4.38490186996906,0.000150918144497914,0.346377270056899,0.524541201671493
"PLVAP",-1.19570144633962,2.26402421327038,-4.25373394803218,0.000215129176744344,0.346377270056899,0.259990250798949
"NIPSNAP3A",0.847133716201606,2.30451316835706,4.06084390041832,0.000361388494486363,0.346377270056899,-0.128677184436104
"RP11-347C12.1.1",-0.75238237178899,5.06328840374523,-4.04635114340778,0.000375695123715991,0.346377270056899,-0.157835982805163
"FAM133B",0.677181243469342,1.93066043232848,3.98913679136573,0.000437824555432211,0.346377270056899,-0.272860209351102
"RP11-1334A24.4.1",0.76540468202259,3.31439724184791,3.97926904305259,0.000449517398072921,0.346377270056899,-0.292682635835665
"OSTM1",0.917149594140522,3.4533593155611,3.97730010856417,0.00045188697383713,0.346377270056899,-0.296637249717704
"TESC",-1.01157733245498,6.43770636700762,-3.96701369600725,0.000464467537405088,0.346377270056899,-0.317294230024038
"FBXL5",0.760668744939412,6.79909973388328,3.88752751820144,0.000574000750811741,0.346377270056899,-0.476709974794856
"RP11-55L3.2.1",-0.593770318942073,3.62022512714376,-3.85919154490149,0.000618880061967249,0.346377270056899,-0.533440983185837
"RP3-452M16.1.1",0.889660698135577,3.12581699894756,3.83674557999302,0.000656856029630111,0.346377270056899,-0.578338408512824
"C1DP1",0.810158930314227,3.8076517148156,3.82463915840793,0.000678276930658033,0.346377270056899,-0.602538279379292
"SERINC1",0.880828333233151,5.30892386353107,3.81338242288434,0.000698807346355489,0.346377270056899,-0.62502930732466
"NUP93",-0.66315414707012,4.02795108403523,-3.72150141902589,0.000890740387151078,0.346377270056899,-0.808200753519276
"SAMD9",1.05120579564802,2.8090621041082,3.71920159947241,0.000896152230826614,0.346377270056899,-0.812775593994023
"AL513327.1",-1.33976565029422,1.8189911356079,-3.71133507107943,0.000914907266888313,0.346377270056899,-0.828419873551677
"LPAR6",1.01344348633311,3.27776236797654,3.70751305976502,0.00092415733284919,0.346377270056899,-0.836018534874898
"CDH12P3",0.948654669071506,1.01300207991176,3.70630622329001,0.000927097048841722,0.346377270056899,-0.838417579373881
"CDH12P1",0.948654669071506,1.01300207991176,3.70630622329001,0.000927097048841722,0.346377270056899,-0.838417579373881
"RP11-87C12.4.1",0.762242084114791,0.51322168159769,3.69974554447308,0.000943238506639564,0.346377270056899,-0.851456831587052
"FANCL",0.804529811442732,1.57066568184822,3.69410675492699,0.000957330731780391,0.346377270056899,-0.86266032868294
"CTD-2516F10.2.1",0.987453563736652,0.73766376880984,3.69398035314237,0.000957648972622795,0.346377270056899,-0.862911434085402
"CCL4",-0.829521824204515,4.42102003085216,-3.6890086140122,0.000970248496242077,0.346377270056899,-0.8727868053183
"BTF3L4",0.61049927768511,2.8137154517652,3.68225641373731,0.000987619404494531,0.346377270056899,-0.886194576838271
"LAMTOR3",0.915040392966057,3.6439134623573,3.67623957587142,0.00100335384951596,0.346377270056899,-0.898138093512926
"GIMAP2",0.826110626187893,5.03498195414614,3.66392416586181,0.00103632553197166,0.346377270056899,-0.922572280067501
"GAS7",0.611835566898868,4.60108391694323,3.65240969520664,0.00106810703007271,0.346377270056899,-0.945402414045924
"WTAP",0.575490347962436,4.84118921042101,3.63597212335809,0.00111512838640007,0.346377270056899,-0.977968095753976
